NL_Query,SQL,source,Constraint_Type,Description,Example_SQL
get all employees older than 30,SELECT * FROM Employees WHERE Age > 30;,nlp_base,,,
list all orders for customer 101,SELECT * FROM Orders WHERE CustomerID = 101;,nlp_base,,,
show product names with default status 'available',"SELECT ProductID, Status FROM Products WHERE Status = 'Available';",nlp_base,,,
insert a new student with id 1 and name 'rahi',"INSERT INTO Students (ID, Name) VALUES (1, 'Rahi');",nlp_base,,,
delete all orders of customer 9999,DELETE FROM Orders WHERE CustomerID = 9999;,nlp_base,,,
,,constraints_base,Tutorials,Tutorials constraint description pending.,-- Example SQL for Tutorials constraint to be added.
,,constraints_base,References,References constraint description pending.,-- Example SQL for References constraint to be added.
,,constraints_base,Exercises,Exercises constraint description pending.,-- Example SQL for Exercises constraint to be added.
,,constraints_base,Certificates,Certificates constraint description pending.,-- Example SQL for Certificates constraint to be added.
,,constraints_base,All Our Services,All Our Services constraint description pending.,-- Example SQL for All Our Services constraint to be added.
,,constraints_base,SQL Tutorial,SQL Tutorial constraint description pending.,-- Example SQL for SQL Tutorial constraint to be added.
,,constraints_base,SQL Database,SQL Database constraint description pending.,-- Example SQL for SQL Database constraint to be added.
,,constraints_base,SQL References,SQL References constraint description pending.,-- Example SQL for SQL References constraint to be added.
,,constraints_base,SQL Examples,SQL Examples constraint description pending.,-- Example SQL for SQL Examples constraint to be added.
,,constraints_base,SQL Create Constraints,"Constraints can be specified when the table is created with the 
CREATE TABLE statement, or after the table is created 
with the ALTER TABLE statement.",-- Example SQL for SQL Create Constraints constraint to be added.
,,constraints_base,SQL Constraints,SQL constraints are used to specify rules for the data in a table.,-- Example SQL for SQL Constraints constraint to be added.
,,constraints_base,Contact Sales,"If you want to use W3Schools services as an educational institution, team or enterprise, send us an e-mail:sales@w3schools.com",-- Example SQL for Contact Sales constraint to be added.
,,constraints_base,Report Error,"If you want to report an error, or if you want to make a suggestion, send us an e-mail:help@w3schools.com",-- Example SQL for Report Error constraint to be added.
,,constraints_base,Tutorials,Tutorials constraint description pending.,-- Example SQL for Tutorials constraint to be added.
,,constraints_base,References,References constraint description pending.,-- Example SQL for References constraint to be added.
,,constraints_base,Exercises,Exercises constraint description pending.,-- Example SQL for Exercises constraint to be added.
,,constraints_base,Certificates,Certificates constraint description pending.,-- Example SQL for Certificates constraint to be added.
,,constraints_base,All Our Services,All Our Services constraint description pending.,-- Example SQL for All Our Services constraint to be added.
,,constraints_base,SQL Tutorial,SQL Tutorial constraint description pending.,-- Example SQL for SQL Tutorial constraint to be added.
,,constraints_base,SQL Database,SQL Database constraint description pending.,-- Example SQL for SQL Database constraint to be added.
,,constraints_base,SQL References,SQL References constraint description pending.,-- Example SQL for SQL References constraint to be added.
,,constraints_base,SQL Examples,SQL Examples constraint description pending.,-- Example SQL for SQL Examples constraint to be added.
,,constraints_base,SQL PRIMARY KEY Constraint,The PRIMARY KEY constraint is used to uniquely identify each record in a table.,-- Example SQL for SQL PRIMARY KEY Constraint constraint to be added.
,,constraints_base,SQL PRIMARY KEY on CREATE TABLE,"The following SQL creates a PRIMARY KEY on the ""ID"" column when the ""Persons"" table is created:",-- Example SQL for SQL PRIMARY KEY on CREATE TABLE constraint to be added.
,,constraints_base,SQL PRIMARY KEY on ALTER TABLE,"To create a PRIMARY KEY constraint on the ""ID"" column when the table is already created, use the following SQL:",-- Example SQL for SQL PRIMARY KEY on ALTER TABLE constraint to be added.
,,constraints_base,DROP a PRIMARY KEY Constraint,"To drop a PRIMARY KEY constraint, use the following SQL:",-- Example SQL for DROP a PRIMARY KEY Constraint constraint to be added.
,,constraints_base,Contact Sales,"If you want to use W3Schools services as an educational institution, team or enterprise, send us an e-mail:sales@w3schools.com",-- Example SQL for Contact Sales constraint to be added.
,,constraints_base,Report Error,"If you want to report an error, or if you want to make a suggestion, send us an e-mail:help@w3schools.com",-- Example SQL for Report Error constraint to be added.
,,constraints_base,Tutorials,Tutorials constraint description pending.,-- Example SQL for Tutorials constraint to be added.
,,constraints_base,References,References constraint description pending.,-- Example SQL for References constraint to be added.
,,constraints_base,Exercises,Exercises constraint description pending.,-- Example SQL for Exercises constraint to be added.
,,constraints_base,Certificates,Certificates constraint description pending.,-- Example SQL for Certificates constraint to be added.
,,constraints_base,All Our Services,All Our Services constraint description pending.,-- Example SQL for All Our Services constraint to be added.
,,constraints_base,SQL Tutorial,SQL Tutorial constraint description pending.,-- Example SQL for SQL Tutorial constraint to be added.
,,constraints_base,SQL Database,SQL Database constraint description pending.,-- Example SQL for SQL Database constraint to be added.
,,constraints_base,SQL References,SQL References constraint description pending.,-- Example SQL for SQL References constraint to be added.
,,constraints_base,SQL Examples,SQL Examples constraint description pending.,-- Example SQL for SQL Examples constraint to be added.
,,constraints_base,SQL FOREIGN KEY Constraint,The FOREIGN KEY constraint is used to prevent actions that would destroy links between tables.,-- Example SQL for SQL FOREIGN KEY Constraint constraint to be added.
,,constraints_base,SQL FOREIGN KEY on CREATE TABLE,"The following SQL creates a FOREIGN KEY on the ""PersonID"" column when the ""Orders"" table is created:",-- Example SQL for SQL FOREIGN KEY on CREATE TABLE constraint to be added.
,,constraints_base,SQL FOREIGN KEY on ALTER TABLE,"To create a FOREIGN KEY constraint on the ""PersonID"" column when the ""Orders"" table is already created, use the following SQL:",-- Example SQL for SQL FOREIGN KEY on ALTER TABLE constraint to be added.
,,constraints_base,DROP a FOREIGN KEY Constraint,"To drop a FOREIGN KEY constraint, use the following SQL:",-- Example SQL for DROP a FOREIGN KEY Constraint constraint to be added.
,,constraints_base,Contact Sales,"If you want to use W3Schools services as an educational institution, team or enterprise, send us an e-mail:sales@w3schools.com",-- Example SQL for Contact Sales constraint to be added.
,,constraints_base,Report Error,"If you want to report an error, or if you want to make a suggestion, send us an e-mail:help@w3schools.com",-- Example SQL for Report Error constraint to be added.
,,constraints_base,Tutorials,Tutorials constraint description pending.,-- Example SQL for Tutorials constraint to be added.
,,constraints_base,References,References constraint description pending.,-- Example SQL for References constraint to be added.
,,constraints_base,Exercises,Exercises constraint description pending.,-- Example SQL for Exercises constraint to be added.
,,constraints_base,Certificates,Certificates constraint description pending.,-- Example SQL for Certificates constraint to be added.
,,constraints_base,All Our Services,All Our Services constraint description pending.,-- Example SQL for All Our Services constraint to be added.
,,constraints_base,SQL Tutorial,SQL Tutorial constraint description pending.,-- Example SQL for SQL Tutorial constraint to be added.
,,constraints_base,SQL Database,SQL Database constraint description pending.,-- Example SQL for SQL Database constraint to be added.
,,constraints_base,SQL References,SQL References constraint description pending.,-- Example SQL for SQL References constraint to be added.
,,constraints_base,SQL Examples,SQL Examples constraint description pending.,-- Example SQL for SQL Examples constraint to be added.
,,constraints_base,SQL UNIQUE Constraint,The UNIQUE constraint ensures that all values in a column are different.,-- Example SQL for SQL UNIQUE Constraint constraint to be added.
,,constraints_base,SQL UNIQUE Constraint on CREATE TABLE,"The following SQL creates a UNIQUE constraint on the ""ID"" column when the ""Persons"" table is created:",-- Example SQL for SQL UNIQUE Constraint on CREATE TABLE constraint to be added.
,,constraints_base,SQL UNIQUE Constraint on ALTER TABLE,"To create a UNIQUE constraint on the ""ID"" column when the table is already created, use the following SQL:",-- Example SQL for SQL UNIQUE Constraint on ALTER TABLE constraint to be added.
,,constraints_base,DROP a UNIQUE Constraint,"To drop a UNIQUE constraint, use the following SQL:",-- Example SQL for DROP a UNIQUE Constraint constraint to be added.
,,constraints_base,Contact Sales,"If you want to use W3Schools services as an educational institution, team or enterprise, send us an e-mail:sales@w3schools.com",-- Example SQL for Contact Sales constraint to be added.
,,constraints_base,Report Error,"If you want to report an error, or if you want to make a suggestion, send us an e-mail:help@w3schools.com",-- Example SQL for Report Error constraint to be added.
,,constraints_base,Tutorials,Tutorials constraint description pending.,-- Example SQL for Tutorials constraint to be added.
,,constraints_base,References,References constraint description pending.,-- Example SQL for References constraint to be added.
,,constraints_base,Exercises,Exercises constraint description pending.,-- Example SQL for Exercises constraint to be added.
,,constraints_base,Certificates,Certificates constraint description pending.,-- Example SQL for Certificates constraint to be added.
,,constraints_base,All Our Services,All Our Services constraint description pending.,-- Example SQL for All Our Services constraint to be added.
,,constraints_base,SQL Tutorial,SQL Tutorial constraint description pending.,-- Example SQL for SQL Tutorial constraint to be added.
,,constraints_base,SQL Database,SQL Database constraint description pending.,-- Example SQL for SQL Database constraint to be added.
,,constraints_base,SQL References,SQL References constraint description pending.,-- Example SQL for SQL References constraint to be added.
,,constraints_base,SQL Examples,SQL Examples constraint description pending.,-- Example SQL for SQL Examples constraint to be added.
,,constraints_base,SQL CHECK Constraint,The CHECK constraint is used to limit the value range that can be placed in a column.,-- Example SQL for SQL CHECK Constraint constraint to be added.
,,constraints_base,SQL CHECK on CREATE TABLE,"The following SQL creates a CHECK constraint on the ""Age"" column when the ""Persons"" table is created.
The CHECK constraint ensures that the age of a person must be 18, or older:",-- Example SQL for SQL CHECK on CREATE TABLE constraint to be added.
,,constraints_base,SQL CHECK on ALTER TABLE,"To create a CHECK constraint on the ""Age"" column when the table is already created, use the following SQL:",-- Example SQL for SQL CHECK on ALTER TABLE constraint to be added.
,,constraints_base,DROP a CHECK Constraint,"To drop a CHECK constraint, use the following SQL:",-- Example SQL for DROP a CHECK Constraint constraint to be added.
,,constraints_base,Contact Sales,"If you want to use W3Schools services as an educational institution, team or enterprise, send us an e-mail:sales@w3schools.com",-- Example SQL for Contact Sales constraint to be added.
,,constraints_base,Report Error,"If you want to report an error, or if you want to make a suggestion, send us an e-mail:help@w3schools.com",-- Example SQL for Report Error constraint to be added.
,,constraints_base,Tutorials,Tutorials constraint description pending.,-- Example SQL for Tutorials constraint to be added.
,,constraints_base,References,References constraint description pending.,-- Example SQL for References constraint to be added.
,,constraints_base,Exercises,Exercises constraint description pending.,-- Example SQL for Exercises constraint to be added.
,,constraints_base,Certificates,Certificates constraint description pending.,-- Example SQL for Certificates constraint to be added.
,,constraints_base,All Our Services,All Our Services constraint description pending.,-- Example SQL for All Our Services constraint to be added.
,,constraints_base,SQL Tutorial,SQL Tutorial constraint description pending.,-- Example SQL for SQL Tutorial constraint to be added.
,,constraints_base,SQL Database,SQL Database constraint description pending.,-- Example SQL for SQL Database constraint to be added.
,,constraints_base,SQL References,SQL References constraint description pending.,-- Example SQL for SQL References constraint to be added.
,,constraints_base,SQL Examples,SQL Examples constraint description pending.,-- Example SQL for SQL Examples constraint to be added.
,,constraints_base,SQL DEFAULT Constraint,The DEFAULT constraint is used to set a default value for a column.,-- Example SQL for SQL DEFAULT Constraint constraint to be added.
,,constraints_base,SQL DEFAULT on CREATE TABLE,"The following SQL sets a DEFAULT value for the ""City"" column when the ""Persons"" table is created:",-- Example SQL for SQL DEFAULT on CREATE TABLE constraint to be added.
,,constraints_base,SQL DEFAULT on ALTER TABLE,"To create a DEFAULT constraint on the ""City"" column when the table is already created, use the following SQL:",-- Example SQL for SQL DEFAULT on ALTER TABLE constraint to be added.
,,constraints_base,DROP a DEFAULT Constraint,"To drop a DEFAULT constraint, use the following SQL:",-- Example SQL for DROP a DEFAULT Constraint constraint to be added.
,,constraints_base,Contact Sales,"If you want to use W3Schools services as an educational institution, team or enterprise, send us an e-mail:sales@w3schools.com",-- Example SQL for Contact Sales constraint to be added.
,,constraints_base,Report Error,"If you want to report an error, or if you want to make a suggestion, send us an e-mail:help@w3schools.com",-- Example SQL for Report Error constraint to be added.
,,constraints_strong,Tutorials,Tutorials constraint description pending.,-- Example SQL for Tutorials constraint to be added.
,,constraints_strong,References,References constraint description pending.,-- Example SQL for References constraint to be added.
,,constraints_strong,Exercises,Exercises constraint description pending.,-- Example SQL for Exercises constraint to be added.
,,constraints_strong,Certificates,Certificates constraint description pending.,-- Example SQL for Certificates constraint to be added.
,,constraints_strong,All Our Services,All Our Services constraint description pending.,-- Example SQL for All Our Services constraint to be added.
,,constraints_strong,SQL Tutorial,SQL Tutorial constraint description pending.,-- Example SQL for SQL Tutorial constraint to be added.
,,constraints_strong,SQL Database,SQL Database constraint description pending.,-- Example SQL for SQL Database constraint to be added.
,,constraints_strong,SQL References,SQL References constraint description pending.,-- Example SQL for SQL References constraint to be added.
,,constraints_strong,SQL Examples,SQL Examples constraint description pending.,-- Example SQL for SQL Examples constraint to be added.
,,constraints_strong,SQL Create Constraints,"Constraints can be specified when the table is created with the 
CREATE TABLE statement, or after the table is created 
with the ALTER TABLE statement.",-- Example SQL for SQL Create Constraints constraint to be added.
,,constraints_strong,SQL Constraints,SQL constraints are used to specify rules for the data in a table.,-- Example SQL for SQL Constraints constraint to be added.
,,constraints_strong,Contact Sales,"If you want to use W3Schools services as an educational institution, team or enterprise, send us an e-mail:sales@w3schools.com",-- Example SQL for Contact Sales constraint to be added.
,,constraints_strong,Report Error,"If you want to report an error, or if you want to make a suggestion, send us an e-mail:help@w3schools.com",-- Example SQL for Report Error constraint to be added.
,,constraints_strong,Tutorials,Tutorials constraint description pending.,-- Example SQL for Tutorials constraint to be added.
,,constraints_strong,References,References constraint description pending.,-- Example SQL for References constraint to be added.
,,constraints_strong,Exercises,Exercises constraint description pending.,-- Example SQL for Exercises constraint to be added.
,,constraints_strong,Certificates,Certificates constraint description pending.,-- Example SQL for Certificates constraint to be added.
,,constraints_strong,All Our Services,All Our Services constraint description pending.,-- Example SQL for All Our Services constraint to be added.
,,constraints_strong,SQL Tutorial,SQL Tutorial constraint description pending.,-- Example SQL for SQL Tutorial constraint to be added.
